;a;b
0;celówsilna;celów silna
1;tzn;tzn
2;rozwiązańkomunikatywne;rozwiązań komunikatywne
3;zespołemumiejętność;zespołem umiejętność
4;pokrewnychwiedza;pokrewnych wiedza
5;markinowoczesne;marki nowoczesne
6;sprzedażyw;sprzedaży w
7;repetytoriówprzygotowywanie;repetytoriów przygotowywanie
8;sprzedażymin;sprzedaży min
9;firmydbałość;firmy dbałość
10;atutemswoboda;atutem swoboda
11;maszyngotowość;maszyn gotowość
12;gospodarczejudoskonalenie;gospodarczej udoskonalenie
13;szczegółyzaangażowanie;szczegóły zaangażowanie
14;wiedzyrealizuje;wiedzy realizuje
15;caseznajomości;case znajomości
16;crmpomoc;crm pomoc
17;metalprezentacje;metal prezentacje
18;lekarzamibudowanie;lekarzami budowanie
19;koniecznydodatkowym;konieczny dodatkowym
20;digital;digi tal
21;uśmiechniętaosoba;uśmiechnięta osoba
22;projektówgotowość;projektów gotowość
23;bankowychnasze;bankowych nasze
24;zagranicznychszerokie;zagranicznych szerokie
25;francuskiegoprawo;francuskiego prawo
26;kluczowychaktywne;kluczowych aktywne
27;rynkurealizacja;rynku realizacja
28;reklamowegoredagowanie;reklamowego redagowanie
29;lojalnośćumiejętność;lojalność umiejętność
30;rowerowewspółpraca;rowerowe współpraca
31;datastage;datast age
32;harmonogramuoptymalizacja;harmonogramu optymalizacja
33;organizacjiw;organizacji w
34;księgowościwykształcenie;księgowości wykształcenie
35;klientaminasz;klientami nasz
36;stokipozyskiwanie;stoki pozyskiwanie
37;wpisówodbiory;wpisów odbiory
38;nixdorf;nixd orf
39;pioniedbanie;pionie dbanie
40;exchangepodejmowanie;exchange podejmowanie
41;zachodnichumowę;zachodnich umowę
42;maszynmotywacja;maszyn motywacja
43;polskiumiejętność;polski umiejętność
44;zawodowegobogaty;zawodowego bogaty
45;personeluoczekiwania;personelu oczekiwania
46;analyst;analy st
47;komórkowygłówne;komórkowy główne
48;organizacjiniezbędne;organizacji niezbędne
49;sprzętowegobardzo;sprzętowego bardzo
50;grupiekreatywność;grupie kreatywność
51;jakościowejwymagania;jakościowej wymagania
52;informatycznymprzygotowywanie;informatycznym przygotowywanie
53;scriptsdoświadczenie;scripts doświadczenie
54;kontaktydobrze;kontakty dobrze
55;brandingowejwspółpraca;brandingowej współpraca
56;czasudoświadczenie;czasu doświadczenie
57;kandydatawspółpraca;kandydata współpraca
58;wewnętrznymdostarczanie;wewnętrznym dostarczanie
59;produkcyjnegopodejmowanie;produkcyjnego podejmowanie
60;mazowieckiewymagania;mazowieckie wymagania
61;badańnadzór;badań nadzór
62;sportpracę;sport pracę
63;pracycenimy;pracy cenimy
64;bwłasnej;b własnej
65;two­rze­nie;two­rze­ nie
66;agencyjnejprzygotowania;agencyjnej przygotowania
67;aktywnościumiejętności;aktywności umiejętności
68;oglobalnych;o globalnych
69;socjologiipraktyczne;socjologii praktyczne
70;kreatywnościąmamy;kreatywnością mamy
71;elektromechanikinasz;elektromechaniki nasz
72;handlowejrealizacja;handlowej realizacja
73;computing;comput ing
74;oferujemyholenderska;oferujemy holenderska
75;double;doub le
76;produkcyjnychanaliza;produkcyjnych analiza
77;kontrahentówpraca;kontrahentów praca
78;problemówwysoki;problemów wysoki
79;budżecieusprawnianie;budżecie usprawnianie
80;budówwspieranie;budów wspieranie
81;global;glob al
82;pojęćznajomość;pojęć znajomość
83;itd;it d
84;angielskiegooferujemy;angielskiego oferujemy
85;magazynowychrealizacja;magazynowych realizacja
86;kosztorysowaniawiedza;kosztorysowania wiedza
87;zamożnegobudowanie;zamożnego budowanie
88;nieokreślonyosoba;nieokreślony osoba
89;myśleniawysoka;myślenia wysoka
90;klientemprzyjmowanie;klientem przyjmowanie
91;kandydatówzapewnimy;kandydatów zapewnimy
92;celówkreatywność;celów kreatywność
93;systemówoczekiwania;systemów oczekiwania
94;produkcjibiegła;produkcji biegła
95;nmf;n mf
96;pracyjesteś;pracy jesteś
97;umówod;umów od
98;ludzidyspozycyjności;ludzi dyspozycyjności
99;wynagrodzeniejasną;wynagrodzenie jasną
100;działaniaegzekwowanie;działania egzekwowanie
101;recepcjizarządzanie;recepcji zarządzanie
102;wyzwańrzeczywistą;wyzwań rzeczywistą
103;dykcjimile;dykcji mile
104;zestawieńorganizowanie;zestawień organizowanie
105;generatoraprzygotowywanie;generatora przygotowywanie
106;indywidualnejnastawienie;indywidualnej nastawienie
107;rodzinyponiżej;rodziny poniżej
108;firmiepoświadczenie;firmie poświadczenie
109;budowydoświadczenie;budowy doświadczenie
110;klientemwykształcenie;klientem wykształcenie
111;zawodowegoszeroki;zawodowego szeroki
112;pracybudowanie;pracy budowanie
113;klientamiod;klientami od
114;lokaluwykształcenie;lokalu wykształcenie
115;wds;w ds
116;analitycznegoznajomość;analitycznego znajomość
117;asertywnośćdyspozycyjność;asertywność dyspozycyjność
118;itprawo;it prawo
119;analitycznądokumentowanie;analityczną dokumentowanie
120;klientównadzór;klientów nadzór
121;pracymobilności;pracy mobilności
122;maszynamibardzo;maszynami bardzo
123;usprawnieńrozwiązywanie;usprawnień rozwiązywanie
124;korporacjirazem;korporacji razem
125;innychoprócz;innych oprócz
126;międzynarodowymwykształcenia;międzynarodowym wykształcenia
127;utrzymywanie; utrzymywanie
128;kwalifikacjezdobycie;kwalifikacje zdobycie
129;zespoleniezależność;zespolenie zależność
130;szkoleniapakiet;szkolenia pakiet
131;unified;unifi ed
132;atutemmile;atutem mile
133;sieciznajomość;sieci znajomość
134;marketingowychanaliza;marketingowych analiza
135;technicznychobsługa;technicznych obsługa
136;tdd;td d
137;dokumentówkontakt;dokumentów kontakt
138;oney;o ney
139;fasonera;fason era
140;sumiennośćasertywnośćdoświadczenie;sumiennośćasertywność doświadczenie
141;sprzedażypozyskiwanie;sprzedaży pozyskiwanie
142;prawnejrozpoczęta;prawnej rozpoczęta
143;współpracownikamirozwiązywanie;współpracownikami rozwiązywanie
144;rolnejpozyskiwanie;rolnej pozyskiwanie
145;konstrukcyjnychdoświadczenie;konstrukcyjnych doświadczenie
146;finansowąpozyskiwanie;finansową pozyskiwanie
147;zespoleoferujemyzdobywanie;zespoleoferujemy zdobywanie
148;zagranicznymipraktyczna;zagranicznymi praktyczna
149;officewysoko;office wysoko
150;administracyjnychznajomość;administracyjnych znajomość
151;sztucznychdobra;sztucznych dobra
152;myśleniaznajomość;myślenia znajomość
153;inneod;inne od
154;rachunkowościprowadzenie;rachunkowości prowadzenie
155;farmaceutycznegołatwość;farmaceutycznego łatwość
156;erpbudowa;erp budowa
157;wyjazdumile;wyjazdu mile
158;produktówoczekujemywykształcenia;produktówoczekujemy wykształcenia
159;rynkuśledzenie;rynku śledzenie
160;ludźmiszeroki;ludźmi szeroki
161;wykształcenieznajomość;wykształcenie znajomość
162;operacyjnychwykształcenie;operacyjnych wykształcenie
163;sprzedażowychzakwaterowanie;sprzedażowych zakwaterowanie
164;autorskiegosporządzanie;autorskiego sporządzanie
165;podzespołówukładania;podzespołów układania
166;zespołukontakt;zespołu kontakt
167;prawniczedobra;prawnicze dobra
168;zespołemdoświadczenie;zespołem doświadczenie
169;managementwysokie;management wysokie
170;pracęubezpieczenie;pracę ubezpieczenie
171;contiwspółtworzenie;conti współtworzenie
172;mitutoyo;mitutoy o
173;zatrudnieniaosoba;zatrudnienia osoba
174;współprojektowanie;współprojektowa nie
175;osobistaprawo;osobista prawo
176;sulejówekstałe;sulejówek stałe
177;warzywamizaangażowaniedyspozycyjnośćoferujemy;warzywamizaangażowaniedyspozycyjność oferujemy
178;brytaniirejestrację;brytanii rejestrację
179;opakowańwsparcie;opakowań wsparcie
180;exceloferta;excelo ferta
181;kadrwykształcenia;kadr wykształcenia
182;pcznajomość;pc znajomość
183;telefonopanowanie;telefon opanowanie
184;płatniczychnawiązywanie;płatniczych nawiązywanie
185;czaskierowcy;czas kierowcy
186;kwalifikacjimotywujący;kwalifikacji motywujący
187;zespołowejmotywacja;zespołowej motywacja
188;rekrutacyjnychutrzymywanie;rekrutacyjnych utrzymywanie
189;pracydobra;pracyd obra
190;kasowychaktywna;kasowych aktywna
191;podatkówwykształcenie;podatków wykształcenie
192;dykcjaumiejętność;dykcja umiejętność
193;rokuprzyjazną;roku przyjazną
194;technicznejtwoim;technicznej twoim
195;finansoweszansę;finansowe szansę
196;trwałychzakładanie;trwałych zakładanie
197;zewnętrznestałe;zewnętrzne stałe
198;systemuumiejętność;systemu umiejętność
199;finansowychdokonywanie;finansowych dokonywanie
200;biznesowezna;biznesowe zna
201;przywódczychmożliwość;przywódczych możliwość
202;motywacyjnegotroszczymy;motywacyjnego troszczymy
203;gpp;g pp
